horizon_months,step,date,forecast
15,10,2026-07,308.31622943283804
15,11,2026-08,309.3999751326695
15,12,2026-09,309.6185913392328
15,13,2026-10,310.32825181662304
15,14,2026-11,309.6856594834136
15,15,2026-12,309.4269373376371
16,1,2025-10,298.1723678484726
16,2,2025-11,297.1429428486286
16,3,2025-12,297.0725930299569
16,4,2026-01,298.7340838648992
16,5,2026-02,300.65357517622215
16,6,2026-03,301.88653735597086
16,7,2026-04,304.0892020255836
16,8,2026-05,306.35938819055866
16,9,2026-06,307.60579029101604
16,10,2026-07,308.31622943283804
16,11,2026-08,309.3999751326695
16,12,2026-09,309.6185913392328
16,13,2026-10,310.32825181662304
16,14,2026-11,309.6856594834136
16,15,2026-12,309.4269373376371
16,16,2027-01,310.62243101608914
17,1,2025-10,298.1723678484726
17,2,2025-11,297.1429428486286
17,3,2025-12,297.0725930299569
17,4,2026-01,298.7340838648992
17,5,2026-02,300.65357517622215
17,6,2026-03,301.88653735597086
17,7,2026-04,304.0892020255836
17,8,2026-05,306.35938819055866
17,9,2026-06,307.60579029101604
17,10,2026-07,308.31622943283804
17,11,2026-08,309.3999751326695
17,12,2026-09,309.6185913392328
17,13,2026-10,310.32825181662304
17,14,2026-11,309.6856594834136
17,15,2026-12,309.4269373376371
17,16,2027-01,310.62243101608914
17,17,2027-02,311.97840815752227
18,1,2025-10,298.1723678484726
18,2,2025-11,297.1429428486286
18,3,2025-12,297.0725930299569
18,4,2026-01,298.7340838648992
18,5,2026-02,300.65357517622215
18,6,2026-03,301.88653735597086
18,7,2026-04,304.0892020255836
18,8,2026-05,306.35938819055866
18,9,2026-06,307.60579029101604
18,10,2026-07,308.31622943283804
18,11,2026-08,309.3999751326695
18,12,2026-09,309.6185913392328
18,13,2026-10,310.32825181662304
18,14,2026-11,309.6856594834136
18,15,2026-12,309.4269373376371
18,16,2027-01,310.62243101608914
18,17,2027-02,311.97840815752227
18,18,2027-03,314.3272992599848
19,1,2025-10,298.1723678484726
19,2,2025-11,297.1429428486286
19,3,2025-12,297.0725930299569
19,4,2026-01,298.7340838648992
19,5,2026-02,300.65357517622215
19,6,2026-03,301.88653735597086
19,7,2026-04,304.0892020255836
19,8,2026-05,306.35938819055866
19,9,2026-06,307.60579029101604
19,10,2026-07,308.31622943283804
19,11,2026-08,309.3999751326695
19,12,2026-09,309.6185913392328
19,13,2026-10,310.32825181662304
19,14,2026-11,309.6856594834136
19,15,2026-12,309.4269373376371
19,16,2027-01,310.62243101608914
19,17,2027-02,311.97840815752227
19,18,2027-03,314.3272992599848
19,19,2027-04,316.4100759929152
20,1,2025-10,298.1723678484726
20,2,2025-11,297.1429428486286
20,3,2025-12,297.0725930299569
20,4,2026-01,298.7340838648992
20,5,2026-02,300.65357517622215
20,6,2026-03,301.88653735597086
20,7,2026-04,304.0892020255836
20,8,2026-05,306.35938819055866
20,9,2026-06,307.60579029101604
20,10,2026-07,308.31622943283804
20,11,2026-08,309.3999751326695
20,12,2026-09,309.6185913392328
20,13,2026-10,310.32825181662304
20,14,2026-11,309.6856594834136
20,15,2026-12,309.4269373376371
20,16,2027-01,310.62243101608914
20,17,2027-02,311.97840815752227
20,18,2027-03,314.3272992599848
20,19,2027-04,316.4100759929152
20,20,2027-05,318.45487979336883
21,1,2025-10,298.1723678484726
21,2,2025-11,297.1429428486286
21,3,2025-12,297.0725930299569
21,4,2026-01,298.7340838648992
21,5,2026-02,300.65357517622215
21,6,2026-03,301.88653735597086
21,7,2026-04,304.0892020255836
21,8,2026-05,306.35938819055866
21,9,2026-06,307.60579029101604
21,10,2026-07,308.31622943283804
21,11,2026-08,309.3999751326695
21,12,2026-09,309.6185913392328
21,13,2026-10,310.32825181662304
21,14,2026-11,309.6856594834136
21,15,2026-12,309.4269373376371
21,16,2027-01,310.62243101608914
21,17,2027-02,311.97840815752227
21,18,2027-03,314.3272992599848
21,19,2027-04,316.4100759929152
21,20,2027-05,318.45487979336883
21,21,2027-06,319.86751579873965
22,1,2025-10,298.1723678484726
22,2,2025-11,297.1429428486286
22,3,2025-12,297.0725930299569
22,4,2026-01,298.7340838648992
22,5,2026-02,300.65357517622215
22,6,2026-03,301.88653735597086
22,7,2026-04,304.0892020255836
22,8,2026-05,306.35938819055866
22,9,2026-06,307.60579029101604
22,10,2026-07,308.31622943283804
22,11,2026-08,309.3999751326695
22,12,2026-09,309.6185913392328
22,13,2026-10,310.32825181662304
22,14,2026-11,309.6856594834136
22,15,2026-12,309.4269373376371
22,16,2027-01,310.62243101608914
22,17,2027-02,311.97840815752227
22,18,2027-03,314.3272992599848
22,19,2027-04,316.4100759929152
22,20,2027-05,318.45487979336883
22,21,2027-06,319.86751579873965
22,22,2027-07,320.29574071207736
23,1,2025-10,298.1723678484726
23,2,2025-11,297.1429428486286
23,3,2025-12,297.0725930299569
23,4,2026-01,298.7340838648992
23,5,2026-02,300.65357517622215
23,6,2026-03,301.88653735597086
23,7,2026-04,304.0892020255836
23,8,2026-05,306.35938819055866
23,9,2026-06,307.60579029101604
23,10,2026-07,308.31622943283804
23,11,2026-08,309.3999751326695
23,12,2026-09,309.6185913392328
23,13,2026-10,310.32825181662304
23,14,2026-11,309.6856594834136
23,15,2026-12,309.4269373376371
23,16,2027-01,310.62243101608914
23,17,2027-02,311.97840815752227
23,18,2027-03,314.3272992599848
23,19,2027-04,316.4100759929152
23,20,2027-05,318.45487979336883
23,21,2027-06,319.86751579873965
23,22,2027-07,320.29574071207736
23,23,2027-08,321.11415766191067
24,1,2025-10,298.1723678484726
24,2,2025-11,297.1429428486286
24,3,2025-12,297.0725930299569
24,4,2026-01,298.7340838648992
24,5,2026-02,300.65357517622215
24,6,2026-03,301.88653735597086
24,7,2026-04,304.0892020255836
24,8,2026-05,306.35938819055866
24,9,2026-06,307.60579029101604
24,10,2026-07,308.31622943283804
24,11,2026-08,309.3999751326695
24,12,2026-09,309.6185913392328
24,13,2026-10,310.32825181662304
24,14,2026-11,309.6856594834136
24,15,2026-12,309.4269373376371
24,16,2027-01,310.62243101608914
24,17,2027-02,311.97840815752227
24,18,2027-03,314.3272992599848
24,19,2027-04,316.4100759929152
24,20,2027-05,318.45487979336883
24,21,2027-06,319.86751579873965
24,22,2027-07,320.29574071207736
24,23,2027-08,321.11415766191067
24,24,2027-09,321.5622273574159
25,1,2025-10,298.1723678484726
25,2,2025-11,297.1429428486286
25,3,2025-12,297.0725930299569
25,4,2026-01,298.7340838648992
25,5,2026-02,300.65357517622215
25,6,2026-03,301.88653735597086
25,7,2026-04,304.0892020255836
25,8,2026-05,306.35938819055866
25,9,2026-06,307.60579029101604
25,10,2026-07,308.31622943283804
25,11,2026-08,309.3999751326695
25,12,2026-09,309.6185913392328
