horizon_months,step,date,forecast
22,13,2026-10,267.77497994101
22,14,2026-11,267.76861152956934
22,15,2026-12,267.7644550169561
22,16,2027-01,267.76174215877086
22,17,2027-02,267.75997153993285
22,18,2027-03,267.75881589859245
22,19,2027-04,267.7580616386247
22,20,2027-05,267.7575693508543
22,21,2027-06,267.75724804618574
22,22,2027-07,267.757038338173
23,1,2025-10,270.8251087619834
23,2,2025-11,269.7593589921848
23,3,2025-12,269.06376914187393
23,4,2026-01,268.60977397943833
23,5,2026-02,268.3134619969923
23,6,2026-03,268.1200661236309
23,7,2026-04,267.99384117813776
23,8,2026-05,267.91145712005095
23,9,2026-06,267.85768697976425
23,10,2026-07,267.8225924717539
23,11,2026-08,267.79968711041545
23,12,2026-09,267.7847373189013
23,13,2026-10,267.77497994101
23,14,2026-11,267.76861152956934
23,15,2026-12,267.7644550169561
23,16,2027-01,267.76174215877086
23,17,2027-02,267.75997153993285
23,18,2027-03,267.75881589859245
23,19,2027-04,267.7580616386247
23,20,2027-05,267.7575693508543
23,21,2027-06,267.75724804618574
23,22,2027-07,267.757038338173
23,23,2027-08,267.75690146667716
24,1,2025-10,270.8251087619834
24,2,2025-11,269.7593589921848
24,3,2025-12,269.06376914187393
24,4,2026-01,268.60977397943833
24,5,2026-02,268.3134619969923
24,6,2026-03,268.1200661236309
24,7,2026-04,267.99384117813776
24,8,2026-05,267.91145712005095
24,9,2026-06,267.85768697976425
24,10,2026-07,267.8225924717539
24,11,2026-08,267.79968711041545
24,12,2026-09,267.7847373189013
24,13,2026-10,267.77497994101
24,14,2026-11,267.76861152956934
24,15,2026-12,267.7644550169561
24,16,2027-01,267.76174215877086
24,17,2027-02,267.75997153993285
24,18,2027-03,267.75881589859245
24,19,2027-04,267.7580616386247
24,20,2027-05,267.7575693508543
24,21,2027-06,267.75724804618574
24,22,2027-07,267.757038338173
24,23,2027-08,267.75690146667716
24,24,2027-09,267.75681213386565
25,1,2025-10,270.8251087619834
25,2,2025-11,269.7593589921848
25,3,2025-12,269.06376914187393
25,4,2026-01,268.60977397943833
25,5,2026-02,268.3134619969923
25,6,2026-03,268.1200661236309
25,7,2026-04,267.99384117813776
25,8,2026-05,267.91145712005095
25,9,2026-06,267.85768697976425
25,10,2026-07,267.8225924717539
25,11,2026-08,267.79968711041545
25,12,2026-09,267.7847373189013
25,13,2026-10,267.77497994101
25,14,2026-11,267.76861152956934
25,15,2026-12,267.7644550169561
25,16,2027-01,267.76174215877086
25,17,2027-02,267.75997153993285
25,18,2027-03,267.75881589859245
25,19,2027-04,267.7580616386247
25,20,2027-05,267.7575693508543
25,21,2027-06,267.75724804618574
25,22,2027-07,267.757038338173
25,23,2027-08,267.75690146667716
25,24,2027-09,267.75681213386565
25,25,2027-10,267.7567538284372
26,1,2025-10,270.8251087619834
26,2,2025-11,269.7593589921848
26,3,2025-12,269.06376914187393
26,4,2026-01,268.60977397943833
26,5,2026-02,268.3134619969923
26,6,2026-03,268.1200661236309
26,7,2026-04,267.99384117813776
26,8,2026-05,267.91145712005095
26,9,2026-06,267.85768697976425
26,10,2026-07,267.8225924717539
26,11,2026-08,267.79968711041545
26,12,2026-09,267.7847373189013
26,13,2026-10,267.77497994101
26,14,2026-11,267.76861152956934
26,15,2026-12,267.7644550169561
26,16,2027-01,267.76174215877086
26,17,2027-02,267.75997153993285
26,18,2027-03,267.75881589859245
26,19,2027-04,267.7580616386247
26,20,2027-05,267.7575693508543
26,21,2027-06,267.75724804618574
26,22,2027-07,267.757038338173
26,23,2027-08,267.75690146667716
26,24,2027-09,267.75681213386565
26,25,2027-10,267.7567538284372
26,26,2027-11,267.75671577385305
27,1,2025-10,270.8251087619834
